last_name, first_name,player_id,year,b_total_pa,pop_2b_sba,
Kelenic, Jarred,672284,2022,181,,
Arias, Gabriel,672356,2022,57,,
Kirk, Alejandro,672386,2022,541,1.99,
Diaz, Jordan,672478,2022,51,,
Moreno, Gabriel,672515,2022,73,1.92,
Perdomo, Geraldo,672695,2022,500,,
Peraza, Oswald,672724,2022,57,,
Marcano, Tucupita,672779,2022,177,,
Robert, Luis,673357,2022,401,,
Kim, Ha-Seong,673490,2022,582,,
Suzuki, Seiya,673548,2022,446,,
Jung, Josh,673962,2022,102,,
Smith, Kevin,675656,2022,151,,
Velazquez, Nelson,676369,2022,206,,
Clement, Ernie,676391,2022,179,,
Burleson, Alec,676475,2022,53,,
Barrero, Jose,676480,2022,174,,
Contreras, Mark,676628,2022,61,,
Madris, Bligh,676632,2022,123,,
Meyers, Jake,676694,2022,160,,
Trejo, Alan,676701,2022,125,,
McCormick, Chas,676801,2022,407,,
MacKinnon, David,676950,2022,57,,
Franco, Wander,677551,2022,344,,
Rodriguez, Julio,677594,2022,560,,
Duran, Ezequiel,677649,2022,220,,
Thomas, Alek,677950,2022,411,,
Witt Jr., Bobby,677951,2022,632,,
Groshans, Jordan,677954,2022,65,,
Vargas, Miguel,678246,2022,50,,
Torkelson, Spencer,679529,2022,404,,
Vavra, Terrin,679631,2022,103,,
Palacios, Richie,680700,2022,123,,
Kwan, Steven,680757,2022,638,,
Duran, Jarren,680776,2022,223,,
Jeffers, Ryan,680777,2022,236,1.98,
Burdick, Peyton,680814,2022,102,,
Miller, Owen,680911,2022,472,,
Donovan, Brendan,680977,2022,468,,
Stott, Bryson,681082,2022,466,,
Bride, Jonah,681146,2022,187,,
Carpenter, Kerry,681481,2022,113,,
Villar, David,681584,2022,181,,
Eaton, Nate,681987,2022,122,,
Abrams, CJ,682928,2022,302,,
Greene, Riley,682985,2022,418,,
Carroll, Corbin,682998,2022,115,,
Henderson, Gunnar,683002,2022,132,,
Stefanic, Michael,683021,2022,69,,
Vaughn, Andrew,683734,2022,555,,
Pasquantino, Vinnie,686469,2022,298,,
Massey, Michael,686681,2022,194,,
Grissom, Vaughn,687093,2022,156,,
Pujols, Albert,405395,2021,296,,
