last_name, first_name,player_id,year,b_total_pa,isolated_power,
Dyson, Jarrod,502481,2021,149,.081,
Goldschmidt, Paul,502671,2021,679,.221,
Gonzalez, Marwin,503556,2021,307,.105,
Darvish, Yu,506433,2021,55,.038,
Leon, Sandy,506702,2021,220,.084,
Altuve, Jose,514888,2021,678,.211,
Hernandez, Cesar,514917,2021,637,.154,
Segura, Jean,516416,2021,567,.146,
Castro, Starlin,516770,2021,346,.092,
Marte, Starling,516782,2021,526,.148,
Bumgarner, Madison,518516,2021,52,.026,
Culberson, Charlie,518586,2021,271,.138,
d'Arnaud, Travis,518595,2021,229,.167,
Donaldson, Josh,518626,2021,543,.228,
Freeman, Freddie,518692,2021,695,.203,
Grandal, Yasmani,518735,2021,375,.280,
Heyward, Jason,518792,2021,353,.133,
Kelly, Merrill,518876,2021,58,.021,
LeMahieu, DJ,518934,2021,679,.094,
Moreland, Mitch,519048,2021,252,.188,
Moustakas, Mike,519058,2021,206,.164,
Rizzo, Anthony,519203,2021,576,.192,
Romine, Austin,519222,2021,62,.083,
Sogard, Eric,519299,2021,180,.065,
Stanton, Giancarlo,519317,2021,579,.243,
Vogt, Stephen,519390,2021,238,.138,
Galvis, Freddy,520471,2021,394,.166,
Perez, Salvador,521692,2021,665,.271,
Flores, Wilmer,527038,2021,436,.185,
Garcia, Avisail,541645,2021,515,.228,
Inciarte, Ender,542255,2021,89,.101,
Ozuna, Marcell,542303,2021,208,.144,
Villar, Jonathan,542340,2021,505,.167,
Ortega, Rafael,542364,2021,330,.172,
Santana, Danny,542454,2021,127,.164,
Aguilar, Jesus,542583,2021,510,.198,
Berti, Jon,542932,2021,271,.103,
